id,student_no,real_name,class_id
1,S00001,施伟,1
2,S00002,Ethan,1
4,S00004,孔航,1
6,S00006,沈强博,1
6,S00006,沈强博,1
7,S00007,Isabella,1
7,S00007,Isabella,1
8,S00008,孙芳,1
8,S00008,孙芳,1
9,S00009,钱丹,1
11,S00011,周欣,1
11,S00011,周欣,1
12,S00012,Olivia,1
12,S00012,Olivia,1
12,S00012,Olivia,1
13,S00013,沈燕,1
13,S00013,沈燕,1
15,S00015,吕斌,1
17,S00017,何勇,1
17,S00017,何勇,1
21,S00021,姜航,1
23,S00023,周燕,1
23,S00023,周燕,1
24,S00024,王洁,1
26,S00026,吴萍,1
26,S00026,吴萍,1
26,S00026,吴萍,1
26,S00026,吴萍,1
27,S00027,赵琳,1
28,S00028,周芳洁,1
28,S00028,周芳洁,1
29,S00029,秦伟浩,1
29,S00029,秦伟浩,1
29,S00029,秦伟浩,1
29,S00029,秦伟浩,1
30,S00030,尤敏颖,1
30,S00030,尤敏颖,1
30,S00030,尤敏颖,1
31,S00031,曹峰强,1
32,S00032,尤伟浩,1
33,S00033,魏芳,1
33,S00033,魏芳,1
33,S00033,魏芳,1
33,S00033,魏芳,1
33,S00033,魏芳,1
36,S00036,许昊,1
36,S00036,许昊,1
36,S00036,许昊,1
37,S00037,李斌,1
37,S00037,李斌,1
38,S00038,Olivia,1
39,S00039,杨琪媛,1
40,S00040,孙慧雪,1
40,S00040,孙慧雪,1
41,S00041,蒋雪,1
41,S00041,蒋雪,1
43,S00043,卫博,1
43,S00043,卫博,1
48,S00048,华晨航,1
49,S00049,韩勇,1
49,S00049,韩勇,1
50,S00050,何艳,1
50,S00050,何艳,1
51,S00051,王敏,1
51,S00051,王敏,1
51,S00051,王敏,1
52,S00052,吕婷,1
52,S00052,吕婷,1
53,S00053,钱超,1
55,S00055,周雅,2
57,S00057,赵鹏博,2
57,S00057,赵鹏博,2
59,S00059,陈艳丽,2
60,S00060,褚媛,2
62,S00062,金丽婷,2
64,S00064,许芳芳,2
64,S00064,许芳芳,2
65,S00065,尤琳,2
66,S00066,冯斌涛,2
67,S00067,吕雪燕,2
68,S00068,Liam,2
69,S00069,何婷,2
70,S00070,钱燕雪,2
71,S00071,吕斌,2
71,S00071,吕斌,2
72,S00072,蒋浩,2
73,S00073,Liam,2
74,S00074,孔娜倩,2
74,S00074,孔娜倩,2
74,S00074,孔娜倩,2
76,S00076,李燕媛,2
77,S00077,朱峰,2
78,S00078,许洁,2
78,S00078,许洁,2
80,S00080,Isabella,2
80,S00080,Isabella,2
81,S00081,周颖,2
81,S00081,周颖,2
83,S00083,杨萍,2
83,S00083,杨萍,2
85,S00085,华琪,2
85,S00085,华琪,2
87,S00087,Emma,2
87,S00087,Emma,2
87,S00087,Emma,2
88,S00088,钱涛,2
88,S00088,钱涛,2
89,S00089,严萍,2
90,S00090,蒋雅,2
91,S00091,Ethan,2
91,S00091,Ethan,2
92,S00092,孙鑫,2
93,S00093,孙丹,2
94,S00094,孔皓,2
94,S00094,孔皓,2
95,S00095,冯洋,2
95,S00095,冯洋,2
98,S00098,钱慧,2
101,S00101,金芳萍,2
102,S00102,曹博,2
102,S00102,曹博,2
103,S00103,张峰,2
107,S00107,施琳,3
107,S00107,施琳,3
107,S00107,施琳,3
108,S00108,魏婷,3
108,S00108,魏婷,3
109,S00109,吴博涛,3
110,S00110,曹雅,3
110,S00110,曹雅,3
111,S00111,孙雪,3
112,S00112,褚琳,3
113,S00113,杨凯浩,3
113,S00113,杨凯浩,3
114,S00114,褚敏雅,3
115,S00115,严超晨,3
116,S00116,陈磊,3
117,S00117,魏军,3
117,S00117,魏军,3
118,S00118,秦雪,3
119,S00119,Mia,3
119,S00119,Mia,3
121,S00121,钱军超,3
122,S00122,曹丽,3
123,S00123,孙洋,3
123,S00123,孙洋,3
124,S00124,魏涛,3
126,S00126,尤敏,3
127,S00127,何琪雅,3
128,S00128,韩勇,3
129,S00129,Emma,3
129,S00129,Emma,3
132,S00132,施雅,3
134,S00134,周涛,3
134,S00134,周涛,3
135,S00135,朱慧,3
135,S00135,朱慧,3
136,S00136,Lucas,3
137,S00137,孙宇,3
137,S00137,孙宇,3
137,S00137,孙宇,3
137,S00137,孙宇,3
139,S00139,钱军,3
140,S00140,魏磊,3
141,S00141,张雪婷,3
141,S00141,张雪婷,3
142,S00142,韩琪,3
142,S00142,韩琪,3
142,S00142,韩琪,3
145,S00145,尤斌勇,3
145,S00145,尤斌勇,3
147,S00147,赵敏,3
149,S00149,沈航峰,3
153,S00153,华芳,3
160,S00160,沈欣,4
160,S00160,沈欣,4
161,S00161,许慧,4
161,S00161,许慧,4
162,S00162,魏婷,4
162,S00162,魏婷,4
163,S00163,秦超,4
164,S00164,许颖,4
165,S00165,施洁颖,4
165,S00165,施洁颖,4
166,S00166,秦婷婷,4
167,S00167,冯丽,4
167,S00167,冯丽,4
167,S00167,冯丽,4
169,S00169,严超,4
171,S00171,尤丽,4
171,S00171,尤丽,4
172,S00172,Noah,4
172,S00172,Noah,4
172,S00172,Noah,4
175,S00175,尤勇,4
175,S00175,尤勇,4
176,S00176,姜雅,4
176,S00176,姜雅,4
177,S00177,冯敏,4
178,S00178,许颖颖,4
178,S00178,许颖颖,4
178,S00178,许颖颖,4
178,S00178,许颖颖,4
179,S00179,吕艳媛,4
180,S00180,吕静欣,4
180,S00180,吕静欣,4
182,S00182,蒋宇昊,4
183,S00183,姜强,4
185,S00185,秦敏,4
185,S00185,秦敏,4
185,S00185,秦敏,4
185,S00185,秦敏,4
186,S00186,吕洋,4
187,S00187,张丹芳,4
188,S00188,秦浩,4
188,S00188,秦浩,4
190,S00190,褚倩丽,4
191,S00191,李芳,4
193,S00193,韩浩航,4
193,S00193,韩浩航,4
194,S00194,陈静,4
194,S00194,陈静,4
197,S00197,曹娜,4
198,S00198,施晨伟,4
199,S00199,曹燕,4
199,S00199,曹燕,4
201,S00201,吴伟,4
202,S00202,金超,4
202,S00202,金超,4
202,S00202,金超,4
203,S00203,钱丹丽,4
205,S00205,秦慧,4
206,S00206,孔鑫,4
208,S00208,何娜娜,4
208,S00208,何娜娜,4
209,S00209,卫静静,4
210,S00210,严琪慧,4
210,S00210,严琪慧,4
212,S00212,许军,4
212,S00212,许军,4
213,S00213,赵芳婷,5
213,S00213,赵芳婷,5
215,S00215,张娜,5
215,S00215,张娜,5
216,S00216,姜敏,5
221,S00221,何涛,5
221,S00221,何涛,5
222,S00222,郑芳,5
222,S00222,郑芳,5
225,S00225,孙慧,5
225,S00225,孙慧,5
226,S00226,陈晨,5
226,S00226,陈晨,5
227,S00227,尤浩,5
227,S00227,尤浩,5
229,S00229,曹鑫杰,5
229,S00229,曹鑫杰,5
230,S00230,姜媛,5
231,S00231,蒋婷颖,5
232,S00232,李凯,5
232,S00232,李凯,5
232,S00232,李凯,5
233,S00233,韩琳,5
234,S00234,秦皓,5
235,S00235,许强,5
235,S00235,许强,5
235,S00235,许强,5
236,S00236,赵强,5
238,S00238,卫丽,5
239,S00239,张峰,5
240,S00240,冯欣,5
241,S00241,孔鹏,5
241,S00241,孔鹏,5
242,S00242,王芳,5
242,S00242,王芳,5
244,S00244,魏芳娜,5
245,S00245,吴媛,5
245,S00245,吴媛,5
246,S00246,Olivia,5
247,S00247,何超,5
249,S00249,卫皓,5
251,S00251,Noah,5
253,S00253,钱琳,5
254,S00254,朱艳燕,5
254,S00254,朱艳燕,5
254,S00254,朱艳燕,5
254,S00254,朱艳燕,5
255,S00255,姜媛,5
256,S00256,钱欣,5
257,S00257,钱强磊,5
257,S00257,钱强磊,5
257,S00257,钱强磊,5
257,S00257,钱强磊,5
257,S00257,钱强磊,5
258,S00258,周洁,5
259,S00259,陶峰,5
259,S00259,陶峰,5
259,S00259,陶峰,5
262,S00262,吕斌,5
263,S00263,严敏倩,5
263,S00263,严敏倩,5
265,S00265,朱雅,5
265,S00265,朱雅,5
269,S00269,赵颖洁,6
271,S00271,吕琪娜,6
273,S00273,朱萍,6
274,S00274,魏伟,6
274,S00274,魏伟,6
274,S00274,魏伟,6
274,S00274,魏伟,6
274,S00274,魏伟,6
275,S00275,曹军,6
276,S00276,沈峰,6
277,S00277,华超强,6
278,S00278,施丹婷,6
278,S00278,施丹婷,6
280,S00280,Ava,6
280,S00280,Ava,6
282,S00282,钱琪,6
282,S00282,钱琪,6
282,S00282,钱琪,6
285,S00285,Liam,6
285,S00285,Liam,6
286,S00286,陈超,6
287,S00287,秦洋,6
287,S00287,秦洋,6
290,S00290,Ethan,6
291,S00291,金浩,6
292,S00292,金洋,6
293,S00293,许雅,6
294,S00294,张昊伟,6
295,S00295,陶颖,6
296,S00296,Mia,6
296,S00296,Mia,6
297,S00297,Olivia,6
297,S00297,Olivia,6
298,S00298,Isabella,6
300,S00300,施芳,6
301,S00301,李强,6
304,S00304,严琳芳,6
304,S00304,严琳芳,6
306,S00306,Isabella,6
307,S00307,Ethan,6
309,S00309,孔敏慧,6
309,S00309,孔敏慧,6
311,S00311,朱洁,6
311,S00311,朱洁,6
313,S00313,吴昊,6
314,S00314,朱杰,6
315,S00315,郑伟,6
317,S00317,王琳倩,6
317,S00317,王琳倩,6
318,S00318,陈洋鹏,6
318,S00318,陈洋鹏,6
319,S00319,冯浩磊,7
320,S00320,Mia,7
320,S00320,Mia,7
321,S00321,杨博,7
323,S00323,蒋雅,7
324,S00324,金雅丽,7
